Team,Goals For Per Game,Goals Allowed Per Game,+/- GPG,+/- GPG Z-Score,Hitting %,Opp Hitting %,+/- Hitting %,+/- Hitting % Z-Score,Points Per Game,Points Allowed Per Game,+/- PPG,+/- PPG Z-Score,Avg_Z_Score
West Ga.,,,,,0.158,0.225,-0.067,-1.2132110088187487,,,,,-1.2132110088187487
Evansville,0.81,1.688,-0.8779999999999999,-0.9517077480021495,0.184,0.269,-0.08500000000000002,-1.519425712661581,,,,,-1.2355667303318654
UC Riverside,0.47,1.789,-1.319,-1.4164451532563498,0.199,0.257,-0.057999999999999996,-1.0601036568973323,,,,,-1.238274405076841
Gardner-Webb,1.21,1.789,-0.579,-0.6366136795871704,0.141,0.246,-0.10500000000000001,-1.8596642724869499,,,,,-1.24813897603706
Nicholls,0.5,1.875,-1.375,-1.4754594269394228,0.168,0.224,-0.055999999999999994,-1.0260798009147953,,,,,-1.2507696139271092
VMI,1.11,2.281,-1.171,-1.260478858522514,,,,,,,,,-1.260478858522514
Prairie View,0.53,2.886,-2.356,-2.50926304270897,0.188,0.186,0.0020000000000000018,-0.03938797742122515,,,,,-1.2743255100650976
Alabama A&M,1.21,1.737,-0.5270000000000001,-0.5818147111671742,0.131,0.247,-0.11599999999999999,-2.0467954803909025,,,,,-1.3143050957790383
Central Conn. St.,1.24,1.529,-0.2889999999999999,-0.3310040480141136,0.131,0.262,-0.131,-2.3019744002599296,,,,,-1.3164892241370216
Holy Cross,0.78,1.222,-0.44199999999999995,-0.4922394743267953,0.113,0.24,-0.127,-2.2339266882948556,,,,,-1.3630830813108255
Oakland,0.53,2.211,-1.6809999999999998,-1.797930279564786,0.181,0.235,-0.05399999999999999,-0.9920559449322585,,,,,-1.3949931122485222
Pacific,0.7,3.05,-2.3499999999999996,-2.502940084814355,0.182,0.201,-0.019000000000000017,-0.396638465237863,,,,,-1.449789275026109
Temple,0.53,2.895,-2.365,-2.5187474795508926,0.204,0.216,-0.01200000000000001,-0.2775549692989837,19.2,37.22,-18.02,-1.860173554807863,-1.5521586678859132
Marist,0.53,1.412,-0.8819999999999999,-0.9559230532652262,0.14,0.264,-0.124,-2.1828909043210505,,,,,-1.5694069787931384
Kent St.,1.63,1.57,0.05999999999999983,0.03678133618932344,0.154,0.259,-0.10500000000000001,-1.8596642724869499,15.1,46.0,-30.9,-2.998597723494137,-1.6071602199305879
N.C. Central,,,,,0.129,0.223,-0.094,-1.6725330645829968,,,,,-1.6725330645829968
Mercyhurst,,,,,0.135,0.232,-0.097,-1.7235688485568021,,,,,-1.7235688485568021
St. Bonaventure,0.5,2.119,-1.6190000000000002,-1.7325930479870983,,,,,,,,,-1.7325930479870983
Hampton,1.0,2.722,-1.722,-1.8411371585113219,,,,,,,,,-1.8411371585113219
Mississippi Val.,0.87,3.133,-2.263,-2.4112571953424378,0.125,0.235,-0.10999999999999999,-1.9447239124432918,,,,,-2.1779905538928648
Delaware St.,0.22,4.667,-4.447,-4.712813868982287,0.182,0.184,-0.0020000000000000018,-0.10743568938629904,,,,,-2.410124779184293
Ark.-Pine Bluff,0.67,4.0,-3.33,-3.535689874268133,0.127,0.227,-0.1,-1.7746046325306075,,,,,-2.6551472533993703
South Carolina St.,0.31,3.8,-3.4899999999999998,-3.7043020847911987,,,,,,,,,-3.7043020847911987
